Bundesland,Covid Cases,Vaccination Rate,Population,Total Deaths
Baden-Württemberg,2619,77.80%,10879816,1700
Bayern,7148,76%,12843514,4786
Berlin,2644,70%,3520031,1858
Brandenburg,338,80.80%,2484826,125
Bremen,415,77.70%,671489,220
Hamburg,551,83.80%,1787408,345
Hessen,1186,83.40%,6176172,673
Mecklenburg-Vorpommern,240,76.40%,1612362,150
Niedersachsen,2553,81.60%,7926599,1683
Nordrhein-Westfalen,7368,83.30%,17865516,4702
Rheinland-Pfalz,956,80.90%,4052803,378
Saarland,178,76.80%,995597,78
Sachsen,565,27.50%,4084851,450
Sachsen-Anhalt,236,18.90%,224547,180
Schleswig-Holstein,688,83.40%,2858714,300
Thüringen,357,71.90%,2170714,152
,,,,
